"","sp.code","id","X","class","values","total","Common.name..Species.","Species","Diagnosis","Neoplasia.Site","Tumor.type"
"1","BITARI","ZR474_19_1.ndpi_Puff adder_carcinoma_pancreas","Sensitivity","Stromal",0.853658536585366,336,"Puff adder","Bitis arietans","Carcinoma","Pancreas","Epithelial"
"2","BITARI","ZR474_19_1.ndpi_Puff adder_carcinoma_pancreas","Sensitivity","Lymphocyte",0.928571428571429,336,"Puff adder","Bitis arietans","Carcinoma","Pancreas","Epithelial"
"3","BITARI","ZR474_19_1.ndpi_Puff adder_carcinoma_pancreas","Sensitivity","Cancer",0.768844221105528,336,"Puff adder","Bitis arietans","Carcinoma","Pancreas","Epithelial"
"4","BITARI","ZR474_19_1.ndpi_Puff adder_carcinoma_pancreas","Sensitivity","Overall",0.850358062087441,336,"Puff adder","Bitis arietans","Carcinoma","Pancreas","Epithelial"
"5","BITARI","ZR474_19_1.ndpi_Puff adder_carcinoma_pancreas","Sensitivity","mean",0.850358062087441,336,"Puff adder","Bitis arietans","Carcinoma","Pancreas","Epithelial"
"6","BITARI","ZR474_19_1.ndpi_Puff adder_carcinoma_pancreas","Specificity","Stromal",0.849765258215962,336,"Puff adder","Bitis arietans","Carcinoma","Pancreas","Epithelial"
"7","BITARI","ZR474_19_1.ndpi_Puff adder_carcinoma_pancreas","Specificity","Lymphocyte",0.96583850931677,336,"Puff adder","Bitis arietans","Carcinoma","Pancreas","Epithelial"
"8","BITARI","ZR474_19_1.ndpi_Puff adder_carcinoma_pancreas","Specificity","Cancer",0.912408759124088,336,"Puff adder","Bitis arietans","Carcinoma","Pancreas","Epithelial"
"9","BITARI","ZR474_19_1.ndpi_Puff adder_carcinoma_pancreas","Specificity","Overall",0.909337508885607,336,"Puff adder","Bitis arietans","Carcinoma","Pancreas","Epithelial"
"10","BITARI","ZR474_19_1.ndpi_Puff adder_carcinoma_pancreas","Specificity","mean",0.909337508885607,336,"Puff adder","Bitis arietans","Carcinoma","Pancreas","Epithelial"
"11","BITARI","ZR474_19_1.ndpi_Puff adder_carcinoma_pancreas","Pos Pred Value","Stromal",0.766423357664234,336,"Puff adder","Bitis arietans","Carcinoma","Pancreas","Epithelial"
"12","BITARI","ZR474_19_1.ndpi_Puff adder_carcinoma_pancreas","Pos Pred Value","Lymphocyte",0.541666666666667,336,"Puff adder","Bitis arietans","Carcinoma","Pancreas","Epithelial"
